,title,affiliations,matched_countries
1208,SceneGram: Conceptualizing and Describing Tangrams in Scene Context,"['Universität Bielefeld', 'Bielefeld University']",Germany
1215,Are Multimodal Large Language Models Pragmatically Competent Listeners in Simple Reference Resolution Tasks?,"['Universität Bielefeld', 'Universität Bielefeld', 'Bielefeld University', 'Universität Bielefeld']",Germany
1219,Seeing What Tastes Good: Revisiting Multimodal Distributional Semantics in the Billion Parameter Era,"['University Politehnica of Bucharest', 'Copenhagen University and University of Copenhagen', 'University of Copenhagen']",Romania
1224,GUIDEX: Guided Synthetic Data Generation for Zero-Shot Information Extraction,"['Technical University of Munich and Universidad del País Vasco', 'University of the Basque Country (UPV/EHU)', 'University of the Basque Country (UPV/EHU)']",Germany
1225,Missing the Margins: A Systematic Literature Review on the Demographic Representativeness of LLMs,"['Universität Mannheim', 'Universität Mannheim', 'Universität Konstanz', 'Universität Mannheim and GESIS – Leibniz Institute for the Social Sciences']",Germany
1229,Do Emotions Really Affect Argument Convincingness? A Dynamic Approach with LLM-based Manipulation Checks,['University of Technology Nuremberg'],Germany
1286,CogSteer: Cognition-Inspired Selective Layer Intervention for Efficiently Steering Large Language Models,"['Universität Hamburg', 'Alibaba Group', 'Universität Hamburg', 'U Hamburg']",Germany
1348,skLEP: A Slovak General Language Understanding Benchmark,"['Comenius University in Bratislava', 'Kempelen Institute of Intelligent Technologies', 'Technical University in Kosice', 'Kempelen Institute of Intelligent Technologies', 'Comenius University in Bratislava', 'Kempelen Institute of Intelligent Technologies', 'Kempelen Institute of Intelligent Technologies']",Slovakia
1356,How Programming Concepts and Neurons Are Shared in Code Language Models,"['Ludwig-Maximilians-Universität München', 'Ludwig-Maximilians-Universität München', 'ISIR, Sorbonne Université & CNRS']",Germany
1362,MEXA: Multilingual Evaluation of English-Centric LLMs via Cross-Lingual Alignment,"['Ludwig-Maximilians-Universität München', 'Center for Information and Language Processing, LMU Munich', 'Technische Universität München', 'Technische Universität München', 'ISIR, Sorbonne Université & CNRS']",Germany
